1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
staal,acier,pond,"209420,00","209420,00",,"47165,00","47165,00",,"35081,00","35081,00",,"-162255,00",,,"2213,5",,80472,,8150,10336,,,,,,24444,,,14208,,,22790,,,1611,,,5697,,,,,,,,,525,44,,,3117,,300,,,,347,,"30036,5",1053,8189,,1887,,5646,"1222,5",10261,11967,37270,4876,1118,11,3605,"269,5",,
naalden,aiguilles,pond,"6886,25","6886,25",,"638,00","638,00",,"97346,00","97346,00",,"-6248,25",,13,99,651,"1466,75",3,63,3565,,4824,10,42,,2,,,43,"15,125",,"98,5",27,,"16,25",,,,"143,5",,5,"0,5",,"43,25",,,"284,5",92,,"84,75",20,,"4,25",,16,"2,25",,,216,"12,5",,64,,,"204,75","148,5",50,"587,5",2,"89095,5",82,,"1103,5","93,5","32,875",1543
lucifers,allumettes,pond,"2956,00","2956,00",,"475,00","475,00",,"200,00","200,00",,"-2481,00",,,,,439,,,,,,,475,,,,,,,,,,,,,,116,,,,,,422,,,,,,,,,,,,,,,,,,857,,,,,,,,200,,,,1122,,
aluin,alun,pond,"500833,50","500833,50",,"331844,00","331844,00",,"313450,00","313450,00",,"-168989,50",,,1010,,242360,50,1750,190,,,,112,,4574,,,3787,,,5135,14,,56,,,1515,,,,45,,,43850,,350,55650,,12,2131,,450,38,70,134,241,2500,5542,18,17235,100,,,,5335,3508,"105604,5",125850,105533,130251,97100,140459,773,400,42395
tondel,amadou/amadoux,pond,"113,00","113,00",,"148,00","148,00",,"60,00","60,00",,"35,00",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,60,,,,,146,,8,2,
stijfsel,amidon,pond,"23218,75","23218,75",,"560805,00","560805,00",,"4034,00","4334,00",,"537586,25",,"199,5",149385,,47,581,,,14359,,,212950,,,,,,7135,,,19966,,13,57596,,6,1100,,,11246,,"56,5",4156,,41,2396,,"178,5",1391,,,1280,283,,604,,"29,75",13311,,100,57314,,"13260,5",3064,3497,,,,"2564,5",16,456,"6722,5",2955,98
fruitbomen,arbres et arbrisseaux à fruits,aantal,"2409,00","2409,00",,"4105,00","4105,00",,"622,00","622,00",,"1696,00",,45,189,,126,,,22,,,78,44,,167,,,,471,,,190,,118,18,,12,213,,1,59,,250,54,,141,842,,880,257,,32,,,6,20,,196,58,16,233,1483,,70,200,400,,,,20,2,,12,5,206
"laurier, granaatappel... (planten)",arbrisseaux sauvages,aantal,"4,00","4,00",,"87,00","87,00",,"19,00","19,00",,"83,00",,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,6,,2,,,,13,,,,,4,,,,,4,,,,,
bloemen (planten en bollen),plantes et oignons des fleurs,gulden,"6267,00","6267,00",,"3173,00","3173,00",,"105,00","105,00",,"-3094,00",,164,2785,,197,29,,1,,,2396,74,,3152,,100,,35,,30,76,,14,36,,2,,,,,,224,30,,50,41,,6,,,,,,,,,4,65,5,18,,,,,,,,,,,,9,2,
wilde struiken,,gulden,"1482,00","1482,00",,"2558,00","2558,00",,"229,00","229,00",,"1076,00",,28,97,,7,61,,54,39,,199,190,,55,,,,18,,10,50,,80,,,3,40,,4,37,,191,96,,160,1222,,133,168,,21,12,3,134,6,15,89,66,168,183,261,,34,3,,,,,83,170,43,14,22,
wingerd,plantes de vignes,aantal,"2903,00","2903,00",,"77350,00","77350,00",,"267000,00","167000,00",,"74447,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,77350,167000,,,,,,,403,,
leisteen (ingekaderd en in boekvorm),ardoises encadrées et en livret,gulden,"15,00","15,00",,"0,00","0,00",,"0,00","0,00",,"-15,00",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leisteen (gewone),ardoises ordinaires,aantal,"14668312,00","14668312,00",,"1765760,00","1765760,00",,"12101300,00","12101300,00",,"-12902552,00",,,105000,,8700,16300,,16100,1400,,,11300,,,,,33000,,,195300,,,1640,,,240800,,,,5000,,19550,280,,8700,400,,36700,,,1112100,1000,684600,322100,,58000,12625150,72020,11348200,,2500,,8972,477400,,,865710,,,45950,10500,39500,161500,
leisteen (gewone),ardoises ordinaires,voet,"5947,00","5947,00",,"319,00","319,00",,"11176,00","11176,00",,"-5628,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4183,,11144,5,,,1759,319,32,,,
leisteen (bestrating en mortel),ardoises de cherubin et à mortier,kar,"0,00","0,00",,"342,00","342,00",,"0,00","0,00",,"342,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,338,,,,
amber,,pond,"236,00","236,00",,"0,00","0,00",,"0,00","0,00",,"-236,00",,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goud en zilver (staven en in bulk),or et argent en barres et lingots,mark,"789,50","789,50",,"0,00","0,00",,"0,00","0,00",,"-789,50",,,,,49,,,,,,104,,,607,,,,,,,,,,,,,,,,,,,,,,,,"25,75",,,,,,,,,"3,75",,,,,,,,,,,,,,,,,
goud en zilver (gemunt),or et argent monnoyé,gulden,"2000,00","2000,00",,"0,00","0,00",,"0,00","0,00",,"-2000,00",,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
