Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
steel,acier,staal,pounds,125786,6923,146930,7472,"135008,5",16651,"57842,5","152205,75",5809,57899,134829,3513,57104,146606,4515,41778,165451,"10628,5","44526,5",189374,8426,"71342,5","201062,25",9394,29212,205237,"9071,5",79503,191723,"22475,75",76602,178523,"15853,5",42691,174314,"13739,5",49378,"199049,13",37921,18455,"190470,5",50906,40953,209420,47165,35081,191402,61183,60851,"268632,5","39032,5",39288,216330,12268,66971,259197,11068,95728,"232176,5",10430,100545,"207113,5","4061,5",119170,195940,7275,287264,198152,8483,223228,192808,7056,"124019,5",229771,3857,"142991,5",220332,4667,145269,220742,3825,135831,270553,29759,100609,"246440,5",17568,68734,275293,24534,85907,"207371,25",10200,73095,208957,1657,107903
agaric,agaric,oragie/agarik,pounds,...,...,...,...,10,12,0,...,...,...,60,0,0,8,0,0,2,0,0,"896,25",12,0,"257,5",0,0,150,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
precious stones (agate),agates fins,edelstenen (agaat),pounds,...,...,...,...,1,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
lambs and goat lambs,agneaux et cabrits,lammeren en geitelammeren,pieces,2697,5877,2822,4395,1950,2531,2128,1637,3146,840,1491,2523,174,2113,4360,2435,1785,5351,1594,2916,4916,2096,3057,3457,1855,3088,4401,1692,3378,4292,1599,2189,3866,2021,2412,5408,1283,3621,5207,1508,4215,5398,1964,2516,3774,1388,1774,3465,119,3192,3417,582,3328,3235,1037,2707,4314,1327,2710,3990,1948,2774,2726,1261,2140,4072,393,1454,2318,401,1349,3211,69,1814,3347,502,801,2264,87,3980,4440,1364,4310,6050,1784,2910,4357,688,2147,3654,603,2008,6554,1028,2056,5789,677
agnelins et crottelins,agnelines et crottelins,agnelins et crottelins,pounds,...,...,...,...,"605,25",0,0,330,372,2730,370,0,0,516,0,0,17805,49,4715,23009,2437,2310,2170,6,970,1843,0,1140,4042,20,900,2099,0,0,1532,2116,380,5623,10,340,3864,0,400,4310,0,0,6217,0,600,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
eagles,aigles,arenden,pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,0,2,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
eagles,aigles,arenden,guilders,...,...,...,...,0,14,0,...,...,...,...,...,...,0,50,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
needles,aiguilles,naalden,pounds,"4584,75","671,75","5728,19","195,75",4647,"166,5","92190,5","5868,25",1032,"87661,5","5484,88","2140,5","85741,69","4570,19",1004,"92081,5","5757,88","604,88","90901,5","8796,38","743,25","99918,5","6045,92","795,25",90491,"6770,75","310,5","94761,5",6374,566,80185,"6897,63",529,89018,"6441,28","647,78",124107,7962,"962,38","102561,38","7718,56","1128,75",100726,"6886,25",638,97346,"7568,25","925,5","106407,5","7625,75",564,"108985,75","8335,63","250,5","108248,63",6503,"293,5","112861,5","7952,69","452,5","96010,5","8501,71","606,92",93070,7258,5066,106950,7441,285,117186,"7298,13","252,75","97290,5","7987,25","405,5","88760,25",7790,"413,33",94698,9025,"209,5",81522,"12814,25","3864,25","85946,63","15252,5","4448,25","86705,75","14860,25","6157,75","75154,5","9553,75","872,5","80595,5",10657,"311,5","80694,25"
needles,aiguilles,naalden,"""caisses""",...,...,...,...,0,0,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
wood for flails,ailes de fleaux,hout voor vlegels,pieces,558,205,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
garlic,ailles,look,bulb,12450,50,16050,0,10200,4000,7783,4700,1750,3490,19800,0,1900,3060,0,1556,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
alatia,alatia,alatia,pounds,694,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
red chalk,almagro ou crayon rouge,kleurstoffen (rood krijt),pounds,1482,162,"3030,5","1010,5",95,0,0,166,0,265,2280,0,"1411,5","25245,5",600,2779,"698,5",0,900,983,4,0,1232,0,3,1640,3000,0,"1372,5",0,0,1348,150,0,2938,60,0,"3138,5",64,31,859,5100,2750,4077,203,1003,10889,1112,2160,8134,420,50,1919,34,0,936,457,2310,20802,50,6611,778,1520,24181,3968,740,32400,10780,160,12892,"2606,5",1100,23220,545,50,0,1452,570,0,1814,20,0,1695,189,0,5409,400,281,764,2900,"4126,5","2164,25",1150,200,1705,1280,27
