Product ,unit for the price,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791
Milanese rijst,,0.11748,0.120582,0.123684,0.126786,0.129888,0.13299,0.13299,0.13299,0.13299,0.13299,0.13299,0.136092,0.139194,0.142296,0.145398,0.1485,0.151272,0.154044,0.156816,0.159588,0.16236,0.154836,0.147312,0.139788,0.132264,0.12474,0.11858,0.11242,0.10626,0.1001,0.1001,0.1001
Brabants boekweit,,117.766,114.532,111.298,108.064,104.83,101.596,108.0068,114.4176,120.8284,127.2392,133.65,137.0868,140.5236,143.9604,147.3972,150.834,141.268,131.702,122.136,112.57,103.004,107.7032,112.4024,117.1016,121.8008,126.5,136.785,147.07,157.355,167.64,161.37,155.1
tarwe,,141.9,155.52,169.14,182.76,196.38,210,210,210,210,210,210,220,230,240,250,260,248,236,224,212,200,210,220,230,240,250,257.5,265,272.5,280,265,250
rogge,,105.688,108.1124,110.5368,112.9612,115.3856,117.81,122.628,136.9,142.45,147.4,141.9,211.2,246.4,178,137.5,152.3,152.3,116.6,115,107.25,110.363,172,188,150.7,150.7,145.464,160.303,163.9,141.35,204.82,174.724,144.628
spelt,,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,167,169,171,173,176.5,180
gerst,,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,149,148,147,146,145,145,145,145,145,145,147.75,150.5,153.25,156,156,156
haver,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,62,79,96,113,130,130,130,130,130,130,135,140,145,150,150,150
koolzaad,,251.218,246.1294,241.0408,235.9522,230.8636,225.775,226.633,227.491,228.349,229.207,230.065,236.852,243.639,250.426,257.213,264,255.915,247.83,239.745,231.66,223.575,246.7036,269.8322,292.9608,316.0894,339.218,344.6135,350.009,355.4045,360.8,292.534,224.268
raapzaad,,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,286,287.5,289,290.5,292,292,292
visolie,,47.801,47.801,47.801,47.801,47.801,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57
