Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
Milanese rijst,rice,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 40-41","1 Hollandse gulden = 1,1 courante Brabantse gulden/florijn (Verlinden)"
Brabants boekweit,buckwheat,Amsterdamse gulden per last,,1760-1791,"Posthumus, p. 46",1 Brabantse gulden = 2 pond parisis (Vandewalle)
tarwe,wheat,Brabantse gulden per last,,1792,"Corluy, p. 108, FC 4828, AC 1266",1 last (graan) = 30 hectoliter
rogge,rye,Brabantse gulden per viertel,,1794,"Posthumus, p. 24, FC 4828",1 last (zout) = 4000 pond
spelt,spelt,Brabantse gulden per viertel,,1794,"RvF, 4828",viertel = 1/60ste last
gerst,barley,Brabantse gulden per viertel,,1794,"RvF, 4828","hoeud= 166,6 liter? (Doursther)"
haver,oats,Brabantse gulden per viertel,,1794,"FC 4828, AC 1266","1 pot (olie) = 1,35 of 1,374 liter (Verlinden)"
koolzaad,coleseed,Amsterdamse gulden per last,,1760-1791,"Posthumus, p. 50-51","1 oxhoofd = 232,835 liter [Starin, 1980]"
raapzaad,rapeseed,Brabantse gulden per viertel,,1794,"RvF, 4828",1 stoop = 1/50ste aam (Verlinden)
visolie,fish oil,Brabantse gulden per aam,,1791,"ARA, RvF, 4953",1 oxhoofd = 1/4e vat?
zaadolie,seed oil,Brabantse gulden per 192 potten,,1770,"RvF, 4305","1 aam = 137,4 liter (Verlinden)"
koeien,cows,pond parisis per stuk,,1754-1794,"RK, 1266",1 vat = 130 liter (= ca. 1 aam)
hop,hops,Brabantse gulden per 100 pond,"0,18 gulden",1791,FC 4953 and 4828,1 ton (olie) = 100 liter
eieren,eggs,pond parisis per 100,,1754-1794,"RK, 1266",1 pierre/steen (vlas) = 6 pond
Ierse boter,Irish butter ,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 69",1 gulden (florin) = 20 stuivers (sols)
boter,butter,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 70-71",1 stuiver = 12 deniers
Hollandse zachte kaas,Dutch soft cheese,pond parisis per poise,,1761,"RK, 1266",poise = 100 pond (niet zeker) kan ook gelijk zijn aan 1 waeg
stokvis,stockfish,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 92",1 zak (zout) = 112 liter (Verlinden)
vijgen,figs,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 102",1 zak (turf) = 49 liter (Verlinden)
amandelen,almonds,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, 107",
rozijnen,raisins,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, 111",
kandijsuiker,sugar candy,Amsterdamse gulden per pond,,1760-1791,"Posthumus, p. 70-71",
kaneel,cinnamon,Amsterdamse gulden per pond,,1760-1791,"Posthumus, 149",
kruidnagel,cloves,Amsterdamse gulden per pond,,1760-1791,"Posthumus, 156",
nootmuskaat,nutmeg,Amsterdamse gulden per pond,,1759-1780,"Posthumus, 161",
saffraan,saffron,Amsterdamse gulden per pond,,1760-1791,"Posthumus, 165",
peper,pepper,Amsterdamse gulden per pond,,1760-1791,"Posthumus, p. 74",Corluy p. 201
snuiftabak,,Amsterdamse gulden per pond,,1760-1776,"Posthumus, p. 208",
stijfsel,,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 224",
juchtleer,,Amsterdamse gulden per pond,,1760-1791,"Posthumus, p. 362",
ijzerdraad,chocolat,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 399",
koperdraad,sugar (fruits à devises et à casser),Amsterdamse gulden per 100 pond,,1760-1780,"Posthumus, p. 404",
loodwit,beans,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 427",
Engels koperrood,buttermilk,Amsterdamse gulden per 100 pond,,1760-1780,"Posthumus, p. 195",
