Product,Franse vertaling,meeteenheid,I 1765,Controletabel Invoer,U 1765,Controletabel Export,T 1765,Controletabel Transit,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Navagne Invoer,Navagne Uitvoer,Navagne Transit,Roermond Invoer,Roermond Uitvoer,Roermond Transit
koffie,caffé,pond,469886,469886,9498,9498,612379,612379,39291,493,447,118,3,,"320,5",,,536,110,,"45714,5",,130755,"21157,5",3,3150,"163299,75",48,304401,"11129,5",40,5345,"3887,5",,,3,18,,4607,438,,1656,"187,5",,1255,904,,,1120,68002,"11977,5",1254,1000,"363,5","745,5",59,"5519,5",52,"5358,5","9728,25",286,648,3822,3,"1192,5",142392,3793,34751,3108,,57270
steenkool,charbons de pierre,pesée',12923,12923,"36293,5","36293,5",61181,61181,65,20882,,"7843,5","318,75",,,,,,927,,,,,,,,,,,,,,,,,,,,,,,,42,,2,"3217,5",,,,,3125,1639,56,10,83,,10,11,,,,,"146,75",,"1,5","1647,75","9150,25","3706,5",73,23,57417
steenkool (klein),menu charbons de pierre,viertel,"251675,83","251675,833333333",244352,244352,"5026,13","5026,125",81,5536,4,12994,85,,"1299,5",,,4,,,61739,,,75,5,,7,,,11856,1256,,"6267,5",,,"706,6666666667",,,22500,"2498,5","2631,125","127772,166666667",25584,,142,182263,,"179,5","183,5",290,"269,5",6017,473,424,2952,406,93,37,729,,,,513,,12,4727,17929,461,26,6,20
steenkool,charbons de pierre,kar,"9119,79","9119,7916666667","6787,75","6787,75","5578,67","5578,6666666667","92,75","31,5",,,,,"36,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"914,5",8,89,27,"29,25","0,5",120,"92,5","102,1666666667","543,5",1,"144,5","27,1666666667",1,,"7358,375","6624,5","5242,5",,,
steenkool (klein),menu charbons de pierre,kar,"1004,25","1231,75","15503,17","15561,1666666667","1595,21","1595,2083333333","227,5",58,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,217,395,906,"557,5",377,"81,25","529,5",377,,,,,,,,,,,"14181,1666666667","220,875",,18,"1,3333333333"
kant (linnen),dentelles de fil,gulden,4486,4486,24844,24844,15640,15640,263,,1785,131,6000,,197,,,,18,,,,,3,,,,570,,,,,,,,,,,325,,992,84,,,13,,3148,311,1240,34,,,,57,,,230,3676,1229,2394,13289,130,118,17,19,75,,8303,285,34,
zijden stoffen,etoffes de soye pure,el,"19254,75","19254,75","4256,25","4256,25","2973,5","2973,5",,36,,4,35,,"2911,75",148,,,,,7870,,,,"118,25",,,,,,3280,,,,,,36,,29,11,,,,,75,"6,5",,,,,44,,,,,,272,2,209,6526,468,654,"41,5",,"1223,5","1448,5","115,5",764,33,,123
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"757074,5","757074,5","114385,5","114385,5",1313502,1313502,3000,1,1680,45823,,,31130,1290,,32453,,,416727,,8550,7590,,,41445,"2727,5",641674,,,,112,1405,,2499,320,,,875,610,,,,1841,,,19888,,30694,1022,140,,"9295,5",389,,3096,87054,11674,"10590,5","9574,5","3954,5","3078,5","8668,5","16197,5",127484,1910,450988,,31,147480
wol (Spaanse),laine d'Espagne,pond,1002497,1002497,16423,16423,579385,579385,,,,,,,,,,,,,,,,158865,1582,68155,,,,113777,,116796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,729855,14841,394194,,,
wol (gewassen),laine lavée,pond,18905,18905,"152099,75","152099,75","119934,5","119934,5",,,,,"108,5",,,,,,9826,,,,,,1300,,,,,,,,,,,220,8083,,3245,"62239,5",,232,16960,,93,8833,,,,"95727,5",4432,10,41,5293,468,,4899,"31203,25",24166,,2396,,91,"10672,5",,,,,400,,
