Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,517789,537789,6315,6315,"482199,5","482199,5",,64753,670,69058,233,1,1993,322,,,33872,112,,41229,,111482,4993,,,124686,,208549,3841,,,11514,7,,"3799,5",,,68,547,486,39345,551,,"5363,5",340,,66,"397,5",64966,16126,2376,4522,1183,428,30,,,,"8024,75","209,5","1806,5",3563,,838,4538,"9,5",5470,"170269,25","666,5",12999
steenkool,charbons de pierre,pesée',"9988,08","9988,0833333333","38558,5","38558,5",8,8,,,26922,,"6392,25",182,,,,,,2681,,,,,,"25,5",,,,,,,,,,,,,,,1,,,,,,"6772,75",,,,,2795,1180,,,197,,,,,13,28,,10,,,"118,5833333333",,,"659,25","569,25",8
steenkool (klein),menu charbons de pierre,viertel,"429764,5","429764,5","202781,25","198781,25","4454,5","4424,5",,,641,,11168,67,,"10181,5",,,766,,,194106,,,62,,,4,,,16728,,,1934,,,,,,22884,"2397,5",2202,"164780,5",18506,,"218,5",147928,,"17,5",218,,1559,"11548,25",290,"297,5","2694,5","262,5",359,,,,,,102,,6,,,,4597,14781,1664
steenkool,charbons de pierre,kar,"2578,38","2578,375","14047,25","14047,25",5695,5695,,,,,,,,12,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1552,25",392,"449,5",208,911,31,,,,"409,625",80,"842,5","80,5",1,"72,5",206,"140,25","629,5",4,12523,3670
steenkool (klein),menu charbons de pierre,kar,"650,75","650,75","769,83","769,8333333333",115,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,8333333333",,"53,5",668,66,"581,5",60,1,"15,75",,32,,,,,,,,,,,,,,,16
kant (linnen),dentelles de fil,gulden,1644,1644,31362,31362,3708,3708,,230,,2723,33,8408,,11,200,,1,,,120,,,30,2618,,,,,,,,,,,246,3310,,30,,,2,810,,,1900,330,57,2790,100,,,,,40,,,,,691,7960,,99,4,48,94,3322,507,,,
zijden stoffen,etoffes de soye pure,el,"12096,75","12396,75","42608,25","42608,25",1447,2047,,25,15,35,,21,,9,184,,,"30647,75",,,,,"4,25",44,,,114,,,10659,,,,,,10,,,,600,5,394,,,,,,10,24,,,,,,,,7,,10322,"486,5",409,103,,745,"897,5",,70,1031,16,164
wol (ruw of niet gewassen),laine brute ou non lavée,pond,762270,762270,"41443,75","41443,75",696357,696357,,,,,9572,,,38926,,,37205,,,388510,,,58012,,,54428,,537145,,,,2316,,,11181,,,,,,,,,2350,58,,15993,30,146341,12311,,,448,"0,25",884,,271,,432,"19329,5",,1066,12,4135,2480,5168,2462,127040,16575,5390
wol (Spaanse),laine d'Espagne,pond,780635,780635,15926,15926,684521,684521,,,,293345,,,,,,,,,,,,,124893,,43530,2100,,,79766,,100844,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,590,,,573230,15926,246802
wol (gewassen),laine lavée,pond,79121,79121,"285671,5","285671,5","22649,5","22649,5",,,,,50183,40,,,,,,,,,,,500,1250,,,83,,,,,,5305,,5859,,,4696,49828,125,,53616,,,,,,,,,,1775,105,"290,5",9,1080,4360,,15297,3525,"1969,5",350,21272,3933,1051,146102,14838,,,
wol (gekamd),laine peignée,pond,"6679,5","6679,5","262922,5","262922,5",8090,8090,,,410,,,88,,,,,"1,5","1,5",,,,,,2966,,,,,,,,8,,,,,,277,"76338,5",,2806,"168018,5",,304,430,,950,479,8000,363,5429,68,1062,8009,2,,331,,896,111,9,12,17,,,294,11,,,
zout (wit),sel blanc,viertel,"20463,69","20463,1875","745,13","745,125","6554,83","6554,8333333333",,"4471,75",71,207,,"19,25",,"8,375",,,"31,75",,,"538,0625",,1776,"1,6666666667",,,,,,,,,,,,606,"0,5",,"0,75",,,"2,125",,,"0,5","28,875",,,23,"3025,75","0,0416666667",568,,"17,75",7,,,,,5215,15,"257,5","4897,5",,"915,5","3764,6666666667","12,5","247,3333333333","907,25",,"125,75"
zout (grijs of grof),sel gris,viertel,"53699,17","53699,1666666667",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"52434,1666666667",,,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"55141,19","55141,1875",4004,4004,3125,3125,,,,3125,"592,5",,,25303,,,9835,4004,,16248,,,"4,5",,,300,,,2820,,,,,,,,,,,,1,,,"27,75",,,,,,,,,"1,75",,,,,,"7,6875",,,,,,,,,,,
suiker (kandij-),sucre candis,pond,197235,197235,"166294,25","166294,25",294509,294509,,1732,5790,,23,42,,50,12,,17,36375,,"1642,5",,198589,"150,75",5220,,100,,,7,,,,6,,"718,5",,,,14050,,,33860,,,"14755,5",,,"25475,5",10,"87,5",2116,2,46,"438,5",11,3,25893,,25322,705,44313,11109,71,5424,15011,799,30798,"141215,75","685,75",15362
suiker (witte poeder-),sucre en poudre blanc,pond,"1560277,5","1560277,5",11898,11898,100,100,,77138,"5764,5",,,54,,,21,,1250,316,,1435652,,,22033,,,,,,,,,22684,,,1452,,,10,415,,,,,6,2078,,,,,18,1228,4,,"1442,5",,,,,,579,,29,,90,"5,5",,,,,6
suiker (bruine poeder-),sucre en poudre brun,pond,5585196,5585196,2674,2674,1150,1150,,,,,,,,252,,,,,,2307923,,,47308,,,2992201,,1100,106079,,,,,,,,,,,,43373,117,,,,,,2073,50,,,,,,,81309,484,,,,,,,,,,,6751,,
kleurstoffen (indigo),indigo,pond,"36073,5","36073,5",3167,2867,7025,7025,,,"1458,5",3058,,,,587,15,,,386,,"8658,5",,1673,"2677,5",,,"6598,25",100,22,11417,,1940,365,,,,,,2374,6,,2703,160,,,89,,,"15,5",,,8,,"19,5",,,"24,5",308,,"603,5",,,"43,75",,57,2,,225,,321,50
thee,thé,pond,"459881,25","459881,25","4023,63","4023,625","54966,75","54966,75",,22457,"833,5",287,"50,25",39,,"2108,625","44,5",,"93210,5",1035,,"176647,5",,4386,"3269,125","178,5",,81156,"66,5",26106,45601,202,20967,"830,5","10,5",,21050,,,18,"198,5",337,4390,352,,30,505,,,"101,5",30,308,"46,5",4,"71,25","192,75","55,25",37,26,,"392,75","70,75","2,5",666,,220,374,"15,5",276,"7213,75","105,625",2296
katoen (bedrukt),toile de coton imprimé,el,"1356669,75","1356669,75",156877,156877,230272,230272,,18207,961,,757,"330,5",,262331,"238,5",,"276268,5",,,"242040,5",,872,13031,40,,210280,117,,8635,2307,1930,"447,5",,,"41896,25",120,,9602,1135,10747,"62684,75",113218,,20454,24687,,,"648,5",62,"4857,5","593,25",1004,"32658,75","5903,5",323,487,4012,,21468,4,518,25566,,13065,39158,105,559,65840,"2456,75",201192
katoen (wit),toile de coton blanche,el,1233982,1233982,"3723,25","3723,25",4233,4233,,4556,2042,,80,,,44667,,,137342,,,949903,,,1417,,,"36427,5",,,,,,22,,,7957,,,4436,170,3542,1246,,,,,,21,"428,25",,,,,"1474,5",356,117,,,,43293,53,241,,,,1120,674,333,20,,
wijn (rode Franse),vin rouge de France,aam,"2735,38","2735,375","101,83","101,8333333333","281,42","281,0833333333",,"1,5","19,5","0,3333333333",,,,"8,5",,,3,"64,25",,"990,3333333333",,90,11,"3,5",,"684,5","1,1666666667",6,178,6,,68,1,,"0,75",,,"35,25",,"8,75","409,125",,,223,4,,76,,"131,75","22,5","0,1666666667","32,25",,,,,,,,,,,,,"0,4166666667","1,5",,"23,5","0,75",12
wijn (witte Franse),vin blanc de France,aam,"41233,63","41233,625","783,04","783,0416666667","23,25","23,25",,"6,25","68,5",,"4,5",18,,8,"18,1666666667",,,"360,625",,"13955,25",,"17,75",35,114,,"24955,5",157,"1,5","1465,75","2,25",,"114,375",,,487,"0,75",,3,"3,875",3,7,"0,125",,,"13,75",,"5,25",,1,,"2,25",,"1,5","2,25",,183,"6,5",,,15,,,,,,,,"2,25",,
