Product,Franse vertaling,meeteenheid,I 1768,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"1301178,50","1301132,5","3094,50","3094,5","752515,00",752515,,86371,358,28111,119,,,477,,,"1405,5","838,5",,406717,,139917,"1431,75",,,550066,,474981,9418,103,,16495,23,,2431,,,42,159,35,27131,198,,2995,277,,3,197,83914,"11710,5",268,4254,4342,140,39,"2121,5",,,"14270,5",52,3654,2672,,1194,"7707,75",67,4604,153206,414,11812
steenkool,charbons de pierre,pesée',"11127,25","11127,25","45710,00",45710,"124,00",124,,,29236,,9366,466,,,,,,4050,,,,,,,,,,,,,,,,,,,,,,,,,,,"9580,25",,,30,,1377,1496,12,,528,80,,,,,,,3,,,,,17,"381,25","323,75",15
steenkool (klein),menu charbons de pierre,viertel,"260412,50","260412,5","206482,25","206482,25","3627,50","3627,5",,,,,10223,124,,1062,,,5,,,74903,,,"35,5",,,3436,,,12733,,,3223,16,,,,,166,908,,"127380,5","19726,5",,"319,5","149593,25",,"57,5","236,5",73,394,11733,"99,5","741,5","3755,5",298,"17740,5",1922,,,,,1642,,,,"4,5",127,"6350,5",18463,3030
steenkool,charbons de pierre,kar,"2544,00",2544,"13299,00",13299,"9193,63","9193,625",,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,889,4,92,"17,5","70,25",15,,,,"1545,375",9,"924,625","20,125",,220,60,"186,75",50,5,13020,7892
steenkool (klein),menu charbons de pierre,kar,"1714,25","1714,25","2989,00",2989,"689,50","689,5",,,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,912,9,"1445,5",260,"664,5","166,75",440,16,,,,6,1,,,,,,,,,,
kant (linnen),dentelles de fil,gulden,"3052,00",3052,"39894,00",39894,"4751,00",4751,,333,,2664,132,12140,,,2434,,80,,,17,,,,,,22,,,,,,,,,570,4580,,245,,,23,,,513,2744,,26,6575,1000,,,,180,16,,,40,,148,8220,,403,3,87,160,2922,1000,200,220,
zijden stoffen,etoffes de soye pure,el,"15000,25","15000,25","19650,00",19650,"8774,00",8774,,,27,7900,,82,,,123,,,18962,,,,,,18,,,,,20,56,,,,,,6,,,,,3,,,"11,5",1,27,,,43,,,,60,,,9,11,,"9800,25",208,89,"128,25",,700,"815,75",32,15,"4152,5",124,
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"1111630,50","1111630,5","84821,50","84821,5","914471,00",914471,,,,,7200,,,1760,,,11487,,,274923,,689,71942,,,40404,46,601947,,,,1029,,2720,13431,,,,30,,,,,1862,3,,30419,,44118,3730,,2770,583,64,,,,,"7246,5",11141,"3925,5",,,,500,"6416,5","19909,5",645114,67121,238392
wol (Spaanse),laine d'Espagne,pond,"155442,00",155442,"575,00",575,"225897,00",225897,,,,,,,,,,,,,,,,,61081,575,88680,1175,,,89366,,75067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820,,62150
wol (gewassen),laine lavée,pond,"173830,00",173830,"226639,00",226639,"452047,25","452047,25",,50,50,351132,40023,29,,43983,,,10818,5096,,,,,6464,,,,,,,,,,,,5767,,,3770,49006,572,88,14567,,925,6,,,,61315,,,9,6823,28,,197,3506,,8722,9562,,"3059,5","18054,5","13355,75","43140,5","126734,5","25663,5",,,
wol (gekamd),laine peignée,pond,"4551,50","4551,5","209930,50","209930,5","2718,00",2718,,,1155,,,46,,,,,,,,,,,,2972,,,330,,,,,,,,,,,71,63129,,"1098,5","134547,5",,,209,,,"14,5",,2464,532,2587,,"6765,5",,51,186,,855,44,,,,,12,,131,,,
zout (wit),sel blanc,viertel,"14918,38","14918,375","779,96","788,9583333333","6444,51","6444,5111111111",,3731,28,,,"24,5",,"6,25",,,"36,625",,,"673,1666666667",,3262,"0,25",,,,,,"0,75",,,,,,491,,,4,,,"3,1666666667",,,"0,3333333333","39,125",,,13,"1809,8333333333",,"609,5","0,0111111111","0,25","8,5",18,"0,75",,,"4609,5","9,25","143,3333333333","2218,3333333333","0,5","859,6666666667",2480,"55,3333333333","295,3333333333",663,"1,25","56,3333333333"
zout (grijs of grof),sel gris,viertel,"38517,75","38517,75","19,00",19,"26,25","26,25",,,,,,,,,,,,,,,,,,,,,,,37438,,,"1079,75",,,,,,,,,,,,,,,,19,"26,25",,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"54164,50","54162,5","3383,00",3383,"21991,00",21991,,,"0,75",21991,343,,,29034,15,,7119,"3172,125",,11973,,,,,,5152,,,196,,,,,,,,,159,195,,,,,"186,5",,,,,,,"0,125",,,,,,,,,,,,,,,,,,,
suiker (kandij-),sucre candis,pond,"199224,50","199224,5","142601,50","142601,5","290648,25","290648,25",,10,9383,,22,155,,52,10,,21,22134,,571,,269054,"51,5",425,,989,,,,,,10,,,147,,,,8968,,,38562,,50,13077,,,18130,2,"12,5",128,1,"36,5",198,,,29736,,"26318,25","41,5","373,5",9711,1,"3585,75","15198,75",1085,5301,146024,568,12331
