Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"2851542,50","2851542,5","3990,00",3990,"2441739,00",2441739,,460068,"841,5",976583,416,2,,4045,4,,414751,125,42016,"86217,5",,"465037,5","4016,5",,,119013,6,,"997869,75",120,451864,125535,30,73781,30508,,,58024,436,,11085,20,,"65643,5",586,,"136,5",265,,4640,"309,5",244696,4968,4,131742,"6188,5",277,4091,63272,212,18600,"31702,75",124,16177,"14254,5",53,"9644,5",349188,575,7507
steenkool,charbons de pierre,pesée',"43051,67","43051,6666666667","48096,25","48096,25","75,50","75,5",,,41733,,17203,"508,5",,27,,,,750,,,,,389,"111,1666666667",,,,,,,,,,,,,,,,,,,,100,66,,,"1982,75",,,,,"24826,5",2206,15,,"467,3333333333",,,,,,189,,416,,"41,5","90,1666666667","82,5",19
steenkool (klein),menu charbons de pierre,viertel,"284290,25","284290,249999997","223061,92","223061,916666667","9770,83","9770,8333333333",,,1270,,"15739,6666666667",324,,612,,,4,,,56493,,,,154,,58,429,,"42,5",105,,"5089,25",,,"3248,5",,,"31645,5","312,5",7293,"3505,5",799,,161447,"16925,5",,"1150,33333333",171617,,52,1525,78,"2379,75","20530,75",59,366,4549,"226,5",289,141,10,,,,449,,,"1719,25","4380,1666666667","2104,3333333333"
steenkool,charbons de pierre,kar,"2202,08","2202,0833333333","19188,21","19188,2083333333","9323,50","9323,5",,,,,1,"4,25",,,,,,,,500,,,,,,,25,,,6,,,,,,,,,,135,,,,,,,,,,,8,,225,,9,137,"1501,5",7,"351,8333333333","125,4583333333","240,5","963,25",48,642,1,,15,23,17470,8275
steenkool (klein),menu charbons de pierre,kar,"1993,50","1993,5","1112,00",1112,"1171,75","1171,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,"804,5","297,5","1841,5","300,5","873,25",,,,1,7,1,,,,,,,,,
kant (linnen),dentelles de fil,gulden,"6275,00",6275,"25232,00",25232,"32331,00",32331,,52,2,,6,5175,,,5,,5,400,,,,,,,,52,,,326,,,,,,,,,,,,170,100,31513,19,3597,,384,797,,,450,412,,,,,,,2,1216,300,625,12975,,424,65,106,4210,450,
zijden stoffen,etoffes de soye pure,el,"15746,75","15746,75","35193,00",35193,"694,50","694,5",,7,10,,,"38,5",,75,48,,22,34703,,,,,,12,,,,,,"130,5",,,41,,,,,,,,,,,,,,,"68,5",,,,30,,,,,,,"564,75",,,12716,"4,5",24,"370,5",,"390,5","1991,5",137,250
wol (Spaanse),laine d'Espagne,pond,"585223,50","585223,5","11293,00",11293,"1168219,00",1168219,,,,1107369,,,,,,,2214,,4400,,,,,,,6250,18,7250,,,,125137,,10630,,,,,,,,,,,,,,,,,,,,,,,,,98,20,,,,,,,,"451524,5",11255,38570
wol (gekamd),laine peignée,pond,"22090,00",22090,"152777,00",152777,"8203,00",8203,,,,,,249,,,,,,5319,,,,,,6,,,,,,,,,,,,,,,,,913,44331,,516,99055,,16,761,,,18,7518,300,1521,,872,"546,5",,,"22,5",,,948,685,,,,19473,,
zout (wit),sel blanc,viertel,"22485,42","22485,1666666667","2854,83","2854,8333333333","14456,04","14456,0416666667",,594,150,11713,,"39,25",,"8,625",,,"6,875",,,"488,625",,1009,"84,5",,,,,,3,,,,,,"4294,75",,,,,,"3,125",,,,"1,25",,"0,125",401,,,,"584,75",,1957,,1,"292,6666666667",,"4893,125","3,5","73,5","9453,25","5,5","226,125","1245,5",,831,"1408,6666666667","4,6666666667","18,6666666667"
zout (grijs of grof),sel gris,viertel,"61497,71","61497,7083333333","49,50","49,5","856,83","856,8333333333",,,18,,,,,,,,,,,,,,,,,"27012,25",,,,,,34359,,,"37,125",,,,,,,,,,,,,,,,"31,5",,,,,,,,"89,3333333333",,"853,5",,,,,,,,,"3,3333333333"
zijde (ruwe),soye crue,pond,"60373,94","60374,9375","5649,59","5649,59375","56699,00",56699,,"5124,5","2333,5",56699,"61,25","0,09375",,25331,,,15516,875,,7391,,,,,,,94,,"2602,5",,,4300,2330,,,,,"0,5",,,,15,,"45,5",,,"2,6875",,,,,,,,,,2,,,,,,,,,,,,,
suiker (kandij-),sucre candis,pond,"174792,25","174792,25","212481,00",212481,"1374764,50","1374764,5",,9,10249,735281,64,105,1480,"39,5",2,,19,6230,,244,,136777,96,,,47,,,"13,5",,,,,,72,,,,34565,,,795,,,122952,,,282,,167,34335,5200,,1471,550,65,1295,"82,5","45863,25",96,12636,34944,8,474963,18253,,4131,74896,96,3664
suiker (witte poeder-),sucre en poudre blanc,pond,"1992042,00",1992042,"13621,00",13621,"3425,00",3425,,555,11887,1886,,61,,1685,,,,,,165070,,,1569,,,197619,,,1625544,,,,,,,,,,,,,,,,,,,,,,1673,1539,,,,,,,,,,,,,,,,,,
suiker (bruine poeder-),sucre en poudre brun,pond,"12009884,00",12009884,"5475,00",5475,"5968,00",5968,,,,2878,,,,,,,539565,1909,,1589103,,2480,,,,3045539,,,"5778536,5",,,875189,,,52945,,,122258,627,,,,,"4717,5",100,,,,,,,,,596,,,2243,,,,610,1191,,,,,,840,,
kleurstoffen (indigo),indigo,pond,"49523,50","49523,5","3833,63","3833,625","23090,00",23090,,562,1104,20730,15,3,,1214,8,,550,1971,,"6185,5",,788,5,,,5376,124,,"7078,75",470,,25447,,477,"1061,5",,,1012,,,520,10,,2,,,,"101,625",,,,,,,,22,,,6,,48,274,,1047,"192,75",,,,42,
thee,thé,pond,"370505,88","370505,875","2406,50","2406,5","66509,50","66509,5",,"41324,5",1380,19367,"41,25",59,,"1069,75",75,,38630,"317,25",,"101053,5",,"6343,25",1531,,,"5888,375",151,,"98979,5",,7524,70539,,30820,1750,27,,"1545,125",25,1222,2706,2,,"5,5","79,5",,101,130,,,"8,5",789,256,"14,75",,"61,75","93,5",13,"260,875",4,70,"55,25",,,"275,5",,"181,75",4432,40,"179,5"
"katoen (geverfd, gekamd en bedrukt)",,el,"2053020,00",2053020,"208431,25","208431,25","78206,00",78206,,380736,63,8376,"185,5",127,,195391,"159,75",,609988,,2017,"282154,5",,166,"22061,5",47,,"13547,5",208,,107408,118,11419,"230092,5",1758,12367,844,"81,5",2084,1682,27495,,"11012,5",,9906,"9488,75",156140,,"11021,75",15208,,"1303,5",4807,"12090,5",839,17,1287,13796,1070,"82,5",18221,806,965,34165,,2667,33155,,14471,75927,326,308
katoen (wit),toile de coton blanche,el,"1797415,75","1797415,75","1979,00",1979,"22945,75","22945,75",,5215,,,,,,94485,56,,385871,,,950252,,,317,137,,"1765,5",,,"79089,5",,1072,279542,,"21873,75",,,,,76,,,,,3,1267,,,129,,,,,,,,"875,75",314,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"5112,83","5112,8333333333","72,96","72,9583333333","1095,38","1095,375",,94,"42,625","103,75","7,125",,,12,,,"52,75","7,8333333333","32,25","309,4166666667",,10,"2,0833333333",,,178,,,"1856,875",,34,"661,75",2,"238,5","180,5",,,"190,625",,3,6,,"4,125","531,0833333333","0,625",,"159,75","0,5",,"283,25","5,25",286,"98,25","2,25",63,"65,25","0,875",69,"47,75",3,"82,5",126,"5,5","28,5","8,375",,"6,3333333333",242,"2,5","134,4166666667"
wijn (witte Franse),vin blanc de France,aam,"43194,79","43194,7916666633","1112,18","1112,1833333333","472,63","472,375",,"1501,25","119,1666666667","315,375","0,5","22,375",,"5,5","86,75",,"2988,5","317,625","5,25","1536,625",,"22,5",58,"0,5",,"10532,33333333","279,9166666667",63,"24457,8333333333","187,5","2,25",1601,"9,5","10,5","120,5","0,25",,"196,5",6,"2,25",,"9,6",,"2,5",4,,3,"30,75",,,,"3,5",,"12,25",,"7,125","18,75",,"0,5",,,"173,375",,"22,5",,"4,5","24,25","9,75","2,75",1
