Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
staal,acier,pond,1,"246440,50","17568,00","68734,00",0,12740,5606,140000,0,23,4704,0,0,0,0,0,9814,0,,1000,0,0,16708,0,0,7363,25,0,2130,0,0,3075,0,0,0,0,0,0,0,0,5000,200,0,0,252,0,0,0,1200,0,57,0,26711,61,461,1208,2500,23,8776,1279,5355,16167,0,56051,37842,454,15
naalden,aiguilles,pond,1,"15252,50","4448,25","86705,75",5849,"3412,5","917,5","1144,5",78,0,4756,0,0,1,13,0,"2,5",0,0,0,0,0,1,17,0,"368,75","17,75",0,"376,25",0,0,2,0,0,"266,5","8,75",0,"161,5",0,0,"118,5",710,0,"141,5","0,25",0,0,0,154,"42,75",1,25,"359,25",0,"7,25",101,0,"1166,5","420,25",147,"33,5","1003,75","26,5",84399,"136,5","16,5",3
lucifers,alumettes,pond,1,"5141,00","1569,00","0,00",0,0,0,90,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,550,0,0,268,0,60,710,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,4261,25,0
aluin,alun,pond,1,"563593,00","461604,00","50321,00",15701,0,1192,181258,80,0,226,0,0,5980,0,0,18310,0,0,0,0,0,5426,3750,0,17710,100,0,4500,0,131,738,0,0,625,0,0,0,6150,0,565,23800,0,0,1914,0,1000,0,7000,0,221,0,4889,13,2206,10307,59630,20700,20,6332,0,292081,359289,10607,4257,325,8485
amber,ambre brut,pond,1,"0,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tondel,amadou,pond,1,"197,00","454,00","445,00",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,100,0,300,84,138,145,11,266,0
stijfsel,amidon et poudre à poudrer,pond,1,"25667,25","266486,50","9237,50","589,5","17939,5",0,80,2823,0,35,21892,0,0,69018,0,22,20,0,0,7157,0,0,14120,0,0,40839,0,"263,5",7025,0,0,14394,0,50,16339,0,180,3005,0,128,4417,0,406,1384,18,8500,1600,929,0,5443,0,17,32094,1,2450,330,97,"3821,5",2480,"2393,5","1031,75",516,713,8093,3654,5086
fruitbomen,arbres et arbrisseaux à fruits,aantal,1,"2305,00","12322,00","35,00",54,761,0,612,404,0,30,0,0,284,7259,0,71,30,0,42,20,0,9,70,0,12,397,0,47,164,0,11,622,0,54,1055,0,48,18,0,170,854,0,157,307,0,0,0,0,78,36,0,487,135,12,8,0,23,0,183,0,42,6,0,89,1,0
wilde struiken,arbres et arbrisseaux sauvages,gulden,2,"3734,00","7787,00","677,00",184,297,66,153,99,0,0,43,0,0,173,0,800,0,0,274,26,0,76,372,0,17,47,0,496,18,0,5,69,0,124,1275,1,447,260,0,259,4297,0,26,228,0,0,0,23,38,22,40,503,289,319,75,156,0,180,68,200,0,0,0,77,48,28
"laurier, granaatappel... (planten)","grenadiers, lauriers, jasmin etc",aantal,2,"13,00","15,00","2,00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,2,2,0
rozemarijn (planten),plantes de romarins,aantal,2,"1167,00","0,00","0,00",0,0,0,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0
wingerd,plantes de vignes,aantal,2,"33565,00","258107,00","641400,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,60,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33100,258100,641400,0,0,0,0,0,0
staken voor wingerds,petites perches echalas et stançons,aantal,2,"23675,00","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23675,0,0,0,0,0,0,0,0
